Comparison	Signature	Sample	Age	Cell_type	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge	Dataset
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	F-e15 CEXN2	Forebrain E15.5	Mouse E15.5	Cortical excitatory neurons 2	1.719986240110079e-4	4.824456651540483e-4	-0.5662571873043312	-2.127991966583074	0	99	NNAT, INA, HECW1, ARPP21, SYT4, ACTL6B, RTN1, STMN2, NSG2, TAGLN3, REEP1, SNCB, RAB3A, NSG1, LY6H, DNER, NCAM1, BEX2, TSPAN13, GPR85, BZW2, PLXNA4, TUBB3, FXYD6-FXYD2, PCDH9, FXYD6, CD200, STMN3, DPYSL3, APLP1, CELF4, SERP2, UCHL1, MYT1L, ELAVL3, ANK3, STMN4, KIFAP3, PPP1R14C, GRIA2, ANKRD12, C16orf45, THRA, GNG2, GAP43, TUBB2B, SNRPN, EPHA7, APP, NEUROD2, GPM6A, NR2F2	Jessa et al 2019
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	HF Glyc	Human fetal cortex/MGE	Human fetal	Glycolysis	1.720282126268708e-4	4.824456651540483e-4	-0.5658985572465488	-2.1292086862764794	0	100	NTRK2, PTPRN, CDKN1A, RAB3A, FGF14, NR6A1, PEG3, VWA5A, VWA5A, TXNIP, PPP2R2C, ATP1A3, P4HA1, DACT3, NEBL, PRKCB, SLC3A1, NSF, DHCR7, ZMAT3, NIPAL3, HK2, PDK1, CARS, BNIP3, AMPD2, FAM162A, FABP3, FABP3, ZRSR2, ZRSR2, STC1, INSIG2, PFKP, EGLN3, STX1A, NUP210L, DCUN1D2, GUCY1A3, ENO2, DEAF1, VEGFA, CNN2, PGK1, PGK1, DDIT4, PFKFB4, CLEC4A, CLEC4A, CLEC4A, CLEC4A, CLEC4A, CLEC4A, CYP51A1, SPINT2	Nowakowski et al 2017
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	VSVZ-1 Oligodendrocyte	V-SVZ	Mouse adult	VSVZ-1 Oligodendrocyte	1.7208742040956807e-4	4.824456651540483e-4	-0.5776733960171845	-2.159985221535472	0	96	EFNB3, SEZ6L2, OLIG1, TPPP3, NDRG1, MAPK8IP1, DNAJB2, BIN1, CMTM5, TUBB4A, LGI3, TSPAN2, HAPLN2, CRYAB, PTGDS, TPPP, DESI1, DUSP26, FA2H, APLP1, PDLIM2, CNP, PLEKHB1, TMEFF2, CSRP1, LPAR1, SEPT8, UGT8, ACOT7, STMN4, APOD, GAMT, SLC48A1, MBP, TMEM151A, TTLL7, CLDN11, GJC2, FTH1, GPR37, SEPT4, TALDO1, APP, RNF7, DEGS1, SLC44A1, PEX5L, MOBP, TMEM88B, EVI2A, PLA2G16, FEZ1, AGPAT4	Mizrak et al 2019
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	HP IN-PV	Human ped/adult cortex	Human ped/adult	Parvalbumin interneurons	1.7250301880282904e-4	4.824456651540483e-4	-0.586122334657613	-2.1635543178538046	0	88	NXPH1, CNTNAP5, CPLX1, KCND2, FGF12, ADCY8, AC010127.3, CALN1, BTBD11, EPHA6, KAZN, VWC2, PTCHD4, GRIA4, ANK1, FAM19A2, RP11-123O10.4, DNER, GRIP1, TRPC4, FRMD5, ASTN2, ALK, PTPRM, PLXNA4, GABRG3, PLCXD3, KCNC2, SPARCL1, ZMAT4, SHISA9, SGCZ, ADAMTS17, SLC9A9, RP5-921G16.1, KCNAB1, TMEM132C, MYO16, TENM3, NDST3, CNTNAP3B, FGF13, ZNF804A, SOX6, PLD5, KCTD8, DPP10	Velmeshev et al 2019
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	HF EN-V1-1	Human fetal cortex/MGE	Human fetal	Early Born Deep Layer/subplate Excitatory Neuron V1	1.720282126268708e-4	4.824456651540483e-4	-0.575224848694678	-2.1642991110669625	0	100	GABBR2, RALYL, NTRK2, ZFPM2, CNTN1, OPCML, KHDRBS3, GRM5, NPTX1, SCN2A, WASF1, KAZN, SH3GL2, SULT4A1, NLGN1, GABRA3, LRRTM4, TLE4, SYT16, CHST15, GLB1L2, PAPPA2, PRDM8, VSNL1, IGSF21, B3GAT1, KIAA1644, ELMOD1, VSTM2L, KCNMA1, HS3ST4, AGAP1, SYT6, CLSTN2, KIT, NPAS2, SLC24A2, DYNC1I1, PDZD2, SPOCK1, NEUROD6, PRICKLE2, GABRG2, SERPINI1, KLHL1, SHISA2, DPP10, GRIK3, ADRBK2, GPR37	Nowakowski et al 2017
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	Str/SVZ 37-Ctx excitatory neurons	Striatum	Mouse P9	Str/SVZ 37-Ctx excitatory neurons	1.7208742040956807e-4	4.824456651540483e-4	-0.5830727811259286	-2.1801741243318875	0	96	CHRNA4, GALNT9, GLRA3, CA10, CBLN2, KCNK9, MMP16, SYT13, SYT1, LINGO1, KHDRBS3, NPTX1, NRIP3, FAM189A1, ATP8A2, SH3GL2, ATP2B4, SV2B, BMP3, ZNF804B, IGSF21, ASIC2, AGBL4, KCNJ3, ADCY2, PRICKLE1, KCNT2, AK5, OLFM3, LYPD6B, CHRM2, DISP2, SULF1, B3GALT2, DYNC1I1, GABRA1, NOV, CXCL12, RAMP3, SPOCK1, NEUROD6, PFKP	Anderson et al 2020
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	F-p0 ASEP	Forebrain P0	Mouse P0	Astro-ependymal progenitors	1.7196904557179707e-4	4.824456651540483e-4	-0.5855161824589064	-2.196718511947502	0	98	MEGF11, TCF7L2, NTRK2, C10orf105, ITM2C, RSPH1, TPPP3, RAMP1, FBXO2, DYNLRB2, CAPSL, FAM183A, EFCAB1, RIIAD1, CST3, CMTM5, C7orf57, CLU, RSPO3, METRN, GJA1, PTCH1, MIA, PIFO, C2orf50, GDPD2, MIA-RAB4B, TSPAN15, PRELP, BCL2, FHL1, MLF1, NME5, NKAIN4, ALDOC, LPAR1, PACRG, SERPINH1, C9orf116, LRP1B, MGST1, CD81, ENTPD2, TMEM47, TEKT1, GDF10, SLIT2, PTN, HSPA2, IGFBP5, SLC39A12	Jessa et al 2019
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	HP Neu-NRGN-I	Human ped/adult cortex	Human ped/adult	NRGN-expressing neurons 1	1.719986240110079e-4	4.824456651540483e-4	-0.5847879797740799	-2.1976306014545646	0	99	NEFM, SCN3B, SYT1, SYT4, STXBP1, RTN1, STMN2, SNAP25, FAIM2, SNCB, RAB3A, LY6H, ATP1B1, DPYSL2, BEX2, VSNL1, SEPW1, CLU, ATP1A3, SCG5, NAPB, YWHAG, NDRG4, DNM1, CALM3, NSF, APLP1, UCHL1, HSP90AA1, ATP6V0E2, DYNLL1, ATP2B1, RTN4, PLD3, SERPINI1, SNCA, SYP, CREG2, HSP90AB1, FTH1, TMEM59L, GAP43, CLSTN1, PGM2L1, ENO2, SLC17A7, PRNP, LINC00657, RGS4	Velmeshev et al 2019
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	HP IN-SV2C	Human ped/adult cortex	Human ped/adult	SV2C interneurons	1.720282126268708e-4	4.824456651540483e-4	-0.5929335008032669	-2.2309283954307824	0	100	NXPH1, RELN, ADARB2, LINC00693, FSTL5, LUZP2, GRM5, RAB3C, NTNG1, NRIP3, UNC13C, ATP8A2, KAZN, SCN1A, SPHKAP, DOCK10, VWC2, FGF14, NYAP2, TMEM132D, PTCHD4, GRIA4, ANKRD55, CTC-806A22.1, SV2C, RP11-123O10.4, TOX2, DNER, GRIP1, PRELID2, PTPRT, GRIK2, ALK, PTPRM, KCNC2, MTUS2, C8orf34, ZMAT4, CACNA2D1, RPH3A, MACROD2, KIT, SGCZ, LINGO2, GRIK1, KCNAB1, MYO16, GRIN3A, FGF13, SPOCK1, IL1RAPL1, PKP2	Velmeshev et al 2019
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	HF Choroid	Human fetal cortex/MGE	Human fetal	Choroid	1.720282126268708e-4	4.824456651540483e-4	-0.594151919512055	-2.2355127289037218	0	100	DAW1, SPAG6, F5, SPAG17, RSPH1, C5orf49, TPPP3, AQP1, SLC16A10, C2orf40, FAM183A, PCDP1, DRC1, LRRIQ1, EFCAB1, TAF4B, ATG9B, WDR16, ARMC3, TCTEX1D1, SPATA18, STPG1, EFCAB12, RIBC2, C2orf73, MORN5, PIFO, MAP3K19, DMKN, FAM47E, ADGB, TTC40, HTR2C, WDR96, SULF1, CCDC11, DNAI1, ROPN1L, FANK1, EPHX2, C9orf116, ZMYND10, LRRC6, VWA3A, DNAH7, DNAH7, AKAP14, TBC1D8B, SPA17, MDH1B, WDR78, FAM179A, PCP4, TEKT1, C9orf24	Nowakowski et al 2017
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	VSVZ-2 OPC	V-SVZ	Mouse adult	VSVZ-2 OPC	1.721763085399449e-4	4.824456651540483e-4	-0.6010960959405541	-2.244229461260093	0	95	C1QL1, NXPH1, LIMS2, GPR17, RPRM, MATN4, G0S2, SOX10, TNR, OLIG2, KCNIP3, LUZP2, CNTN1, XYLT1, OLIG1, RAMP1, NEU4, NCALD, S100B, ZDHHC2, KANK1, CSPG4, ADCYAP1R1, BRINP1, S100A1, CHADL, SULF2, CCND1, FXYD6, STMN3, SERPINE2, AMPD3	Mizrak et al 2019
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	VSVZ-2 Oligodendrocytes	V-SVZ	Mouse adult	VSVZ-2 Oligodendrocytes	1.7208742040956807e-4	4.824456651540483e-4	-0.6018810340260359	-2.25050027850002	0	96	EFNB3, SEZ6L2, OLIG1, TPPP3, NDRG1, MAPK8IP1, DNAJB2, PPP1R16B, BIN1, CMTM5, TUBB4A, LGI3, TSPAN2, HAPLN2, CRYAB, PTGDS, TPPP, DESI1, DUSP26, FA2H, APLP1, PDLIM2, CNTN2, CNP, PLEKHB1, TMEFF2, CSRP1, EDIL3, LPAR1, UGT8, ELOVL7, STMN4, APOD, MBP, PRR5L, PLS1, TMEM151A, TTLL7, CLDN11, GJC2, FTH1, GPR37, SEPT4, TALDO1, APP, DEGS1, SLC44A1, PEX5L, RNF13, MOBP, TMEM88B	Mizrak et al 2019
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	Str/SVZ 25-SPN	Striatum	Mouse P9	Str/SVZ 25-SPN	1.7208742040956807e-4	4.824456651540483e-4	-0.602229226991301	-2.251802210810562	0	96	PCBP3, ADARB2, TSHZ1, ARPP21, FGF12, FAM155A, PBX3, SDK2, PCDH7, EPHA6, PPP1R12B, SH3GL2, PAK7, LGR5, PDE4DIP, MAGI2, CACNA1C, NEGR1, CAMK4, NCAM1, CADPS, GRIP1, FRAS1, PPM1L, OTUD7A, ADAMTS19, RUNX1T1, KCNC2, DSCAM, CACNA2D1, PPFIA2, AUTS2, MACROD2, CELF4, PCDH15, DYNC1I1, MPPED1, BRINP2, ENOX1, TENM4, ZNF608, FAM171B, CDK14, ZNF385B, ERBB4, SGCD, HCN1, ASTN1, KCNB2, NAV3, GRIN2B, ADAMTSL1, MAP2, PLCB4	Anderson et al 2020
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	Str/SVZ 41-Interneurons	Striatum	Mouse P9	Str/SVZ 41-Interneurons	1.7229496898690558e-4	4.824456651540483e-4	-0.607177862204263	-2.2557407214736114	0	92	PPAPDC1A, HCN4, SLC6A15, CACNA2D2, LIN28B, CA10, KCNK9, SCN9A, NDNF, SYT13, GDNF, FIGN, SYT1, FGF12, FAM155A, ACHE, NRIP3, CGREF1, TSHZ2, SPHKAP, NYAP2, PTCHD4, SV2C, TRPC4, ASIC2, SLC5A7, VSTM2L, RESP18, CD44, ADCY2, HS3ST4, ELFN1, KCNT2, ZMAT4, CFTR, DSCAM, CLSTN2, PRIMA1, ADAMTS17, GARNL3, TACR1, CHRM2, DISP2, TACR3, IQSEC3, SLC7A14, DRD2, KCTD6, NDST4	Anderson et al 2020
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	HF EN-PFC1	Human fetal cortex/MGE	Human fetal	Early Born Deep Layer/subplate Excitatory Neuron PFC	1.720282126268708e-4	4.824456651540483e-4	-0.6001040436733823	-2.257907757666046	0	100	SUSD4, RALYL, SYN3, ZFPM2, CNTN1, OPCML, CSMD3, KHDRBS3, GRM5, KCNG1, HCRTR2, CALN1, UNC13C, CARD10, KAZN, C1orf95, SH3GL2, COL19A1, LRRTM4, ABLIM3, GABRA5, PAPPA2, CAMKV, VSNL1, IGSF21, ASTN2, ELMOD1, HSPA12A, KCNMA1, GRIK2, FOSL2, HS3ST4, GABRG3, CSGALNACT1, MTUS2, C8orf34, SLC5A8, OLFM3, CLSTN2, MACROD2, GARNL3, LINGO2, CDH10, HOOK1, YPEL2, IQCA1, CDH18, PDZD2, PRICKLE2, BACE2, KLHL1, GUCY1A2, DPP10, LRP1B, COL25A1	Nowakowski et al 2017
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	HP IN-SST	Human ped/adult cortex	Human ped/adult	Somatostatin interneurons	1.7304031839418584e-4	4.824456651540483e-4	-0.6146149425464726	-2.2710995590744174	0	89	NXPH1, LHFPL3, TENM2, RALYL, LINC00693, FSTL5, CDH12, RAB3C, TRHDE, UNC13C, EPHA6, PCDH11Y, PCDH11X, RBFOX1, RP11-123O10.4, RP11-85M11.2, CADPS, GRIP1, ASTN2, GRIK2, XKR4, PTPRM, ADCY2, RUNX1T1, KCNC2, MTUS2, SHISA6, PCLO, PCDH15, GRID2, GRIK1, CDH8, TENM3, GRIN3A, STXBP6, OXR1, SOX6, GRIK3, CHRM3, COL25A1	Velmeshev et al 2019
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	Str/SVZ 26-Ependymal	Striatum	Mouse P9	Str/SVZ 26-Ependymal	1.7482517482517483e-4	4.824456651540483e-4	-0.6332751116490734	-2.2804259331538983	0	76	DNAH2, SPAG17, SLC38A1, ITM2C, RSPH1, ADAMTS20, DNAH3, RGS22, ZBBX, TMEM212, TPPP3, GLIS3, KIF6, DYNLRB2, WWC1, LRRIQ1, EFCAB1, RIIAD1, ARMC3, AGBL4, CCDC30, DNAH5, WDR49, PIFO, SPATA17, NME5, MAATS1, SYNE1, PACRG, FOXJ1, CCDC146, TTC29, CCDC153, VWA3A, DNAH7, WDR78, DNAH6, CCDC170, RARRES2, DNAH10	Anderson et al 2020
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	HP Neu-NRGN-II	Human ped/adult cortex	Human ped/adult	NRGN-expressing neurons 2	1.719986240110079e-4	4.824456651540483e-4	-0.6083522981257183	-2.2861852039824484	0	99	SCN3B, SYT1, SYT4, SEZ6L2, STXBP1, RTN1, SCN2A, STMN2, SNAP25, NSG2, FAIM2, RAB3A, ATP2B2, CADM3, ATP1B1, DPYSL2, BEX2, PRKAR1B, VSNL1, SEPW1, ATP1A3, SCG5, NAPB, YWHAG, NDRG4, PREPL, PRKCB, DNM1, CALM3, NSF, SYNGR1, UCHL1, HSP90AA1, DYNLL1, ATP2B1, RTN4, PLD3, SERPINI1, SNCA, SYP, CREG2, HSP90AB1, ATP6V1A, TMEM59L, GAP43, CLSTN1, PGM2L1, ENO2, SLC17A7, PRNP, LINC00657, ATP2A2, RGS4, APP	Velmeshev et al 2019
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	Str/SVZ 6-SPN	Striatum	Mouse P9	Str/SVZ 6-SPN	1.721763085399449e-4	4.824456651540483e-4	-0.6252049158039392	-2.3342412317224523	0	95	RELN, GNAL, PCP4L1, CNTNAP5, ARPP21, SYT4, RGS9, RASGEF1A, GRM5, NGEF, CALN1, KCTD16, SCN2A, ANO3, SNAP25, PPP1R1B, ATP2B2, RBFOX1, PRKCE, ADCY5, LYPD1, KCNQ5, CAMK4, CPLX2, ELMOD1, LRFN5, RGS2, PPP3CA, NDRG4, DLGAP2, HS3ST4, PRKCB, CAMK2B, RBFOX3, LINGO2, FOXP1, RXRG, KCNAB1, MYT1L, PDE10A, CDH8, ATP2B1, ANK3, SNCA, KCTD8, CX3CL1, PRKACB, BCL11B, KCNIP2, GALNT8, PCP4, PDE1B, GRIN2B	Anderson et al 2020
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	HP Neu-mat	Human ped/adult cortex	Human ped/adult	Maturing neurons	1.720282126268708e-4	4.824456651540483e-4	-0.6219172396119631	-2.339980499632133	0	100	TENM2, RALYL, CBLN2, CACNA1B, CDH12, ARPP21, SYT1, CHD5, KCTD16, ANO3, EPHA6, RIMS2, ATP8A2, RBFOX1, DGKB, ERC2, LRRTM4, CACNA1C, GRIA4, FAM19A2, KCNQ5, GABRB3, STXBP5L, ASIC2, BCYRN1, FAM19A1, AGBL4, LRFN5, KCNMA1, KCNH1, FRMPD4, SORBS2, DLGAP2, PRKCB, PPFIA2, PVRL3, LINGO2, FRMD4A, DOK6, FAM153B, CDH18, KCNIP4, MYT1L, NDST3, RGS7, CNTN4, CHRM3, WBSCR17, LDB2, GRIN2A, ERICH1-AS1, GALNTL6, ANKRD30BL, GRIN2B, MLIP, KHDRBS2, PHACTR1	Velmeshev et al 2019
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	Str/SVZ 36-Interneurons	Striatum	Mouse P9	Str/SVZ 36-Interneurons	1.7229496898690558e-4	4.824456651540483e-4	-0.634672904762535	-2.3780148850508067	0	97	NXPH1, CBLN2, FSTL5, SCN9A, GRIK4, SYT13, OPCML, TMEM130, NOS1, FAM155A, ACHE, VGF, DGKG, CGREF1, FAM189A1, SYNGR3, ARHGDIG, NYAP2, LY6H, VSTM2B, VSNL1, ZNF804B, IGSF21, PTPRT, ATP1A3, CHODL, RESP18, ALK, XKR4, PTPRM, KCNC2, SHISA6, FXYD6, ZMAT4, SFRP1, NPY2R, KCNMB2, LINGO2, TACR1, CHRM2, DISP2, TBC1D30, RIMS4, GRIK1, MASP1, GRIN3A, SPOCK1, NDST4, SOX6, DPP10, CHRM3, COL25A1, TRPC7, GALR1, TOX, GRIN2A, PAM, HCN1, KCNB2, CNTNAP3	Anderson et al 2020
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	F-p3 CEXN1	Forebrain P3	Mouse P3	Cortical excitatory neurons	1.7196904557179707e-4	4.824456651540483e-4	-0.6368723539459409	-2.3893947453088864	0	98	CALY, GOLGA7B, RALYL, L1CAM, SLC17A6, HECW1, ARPP21, SYT1, SYT4, DMTN, ACTL6B, CALN1, STMN2, NDRG1, SNCB, ARHGDIG, RAB3A, NSG1, RBFOX1, FAM19A2, GABRA5, PSD, FAM57B, BEND6, PRKAR1B, CAMKV, TRPC4, CPLX2, GPR85, SHANK1, LRFN5, TUBB3, CAMK2B, CD200, RBFOX3, STMN3, CACNA2D1, PPFIA2, SYT5, DPYSL3, APLP1, SERP2, EFNA3, CNTN2, POU3F1, DYNC1I1, MYT1L, FABP3, ELAVL3, NEUROD6, MPPED1, STMN4, SNCA, GAP43, TUBB2B, GRIN2B, MLIP, CCL27, CCL27, CCL27, CCL27, CCL27, CCL27, CCL27, NEUROD2, FKBP1B	Jessa et al 2019
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	Str/SVZ 16-OPCs	Striatum	Mouse P9	Str/SVZ 16-OPCs	1.721763085399449e-4	4.824456651540483e-4	-0.6430164562917251	-2.4007417200521406	0	95	C1QL1, MEGF11, NXPH1, SEMA3D, GPR17, MYT1, SOX10, TNR, PPAPDC1A, OLIG2, KCNIP3, KCND2, MMP16, LUZP2, CNTN1, FIGN, OPCML, XYLT1, BRINP3, OLIG1, FAM155A, PCDH7, NCAM2, CDH20, NCALD, TMEM132D, DNER, ASTN2, FAM19A1, ZDHHC2, KANK1, CSPG4, GPC5, SULF2, STK32A, B3GAT2, DSCAM, PRKCQ, PCDH15, PPP2R2B, GRIK1, SOX8, PDE4B	Anderson et al 2020
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	Str/SVZ 27-SPN	Striatum	Mouse P9	Str/SVZ 27-SPN	1.7208742040956807e-4	4.824456651540483e-4	-0.6423304804256638	-2.4017452675281947	0	96	GNAL, PCP4L1, CNTNAP5, FAM135B, CELF5, ARPP21, RGS9, RASGEF1A, NGEF, CALN1, PHYHIP, KCTD16, ANO3, PPP1R1B, ADCY5, SV2C, CAMK4, PENK, SYNDIG1L, SYNDIG1, RGS2, GALNT13, HPCA, ADORA2A, PPP3CA, CYP11A1, HS3ST4, GABRG3, NEBL, KCNA4, CAMK2B, PTPN5, MME, SGCZ, FOXP1, RXRG, NPAS2, SLC24A2, POU3F1, KCNAB1, PDE10A, CDH8, ATP2B1, DRD2, ZNF804A, CNTN4, SNCA, KCTD8, CX3CL1, CHRM3, BCL11B, WBSCR17, KCNIP2, GALNT8, ACVR1C, GUCY1A3, PCP4, PDE1B	Anderson et al 2020
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	Str/SVZ 14-SPN	Striatum	Mouse P9	Str/SVZ 14-SPN	1.7205781142463867e-4	4.824456651540483e-4	-0.6442175267283516	-2.402001638854405	0	94	RELN, DGKI, CNTNAP5, TENM2, CSMD3, DPP6, GRM5, CALN1, KCTD16, ANO3, CACNA1E, THRB, RAMP1, FGF14, RBFOX1, DGKB, ADCY5, LYPD1, NEGR1, KCNQ5, GABRB3, STXBP5L, ELMOD1, LRFN5, GALNT13, KCNMA1, GRIK2, BRINP1, DLGAP2, GABRG3, DTNB, SLC2A13, MACROD2, SERPINE2, LINGO2, FOXP1, CDH18, RASGEF1B, CNTN3, KCNAB1, PDE10A, CDH8, ATP2B1, ANK3, ZNF804A, CNTN4	Anderson et al 2020
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	HF EN-V1-2	Human fetal cortex/MGE	Human fetal	Early and Late Born Excitatory Neuron V1	1.720282126268708e-4	4.824456651540483e-4	-0.6428308985592824	-2.41866870924539	0	100	SCUBE1, NEFM, TENM2, ARPP21, LINGO1, SYT4, FGF12, CHD5, STMN2, RNF182, KIAA1244, NCALD, WWC1, TSPAN13, CAMKV, FAM49A, GPR85, FAM19A1, PLXNA4, RUNX1T1, CDKL5, CAMK2B, SHISA9, HIVEP2, FAXC, FBXL2, APLP1, PCLO, GPR27, SERPINE2, PKIA, CNRIP1, NCDN, TBC1D30, TDRD7, KIAA1377, FAM124A, ATP6V1G2, NDST3, TMOD1, ABLIM1, STC1, VLDLR, STMN4, SNCA, GUCY1A2, TENM4, STK32B, PTPN2, GAP43, SEMA3A, SLC8A1, GRIN2B, SH3GL3, KIAA0319, KHDRBS2, NEUROD2	Nowakowski et al 2017
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	Str/SVZ 38-SPN	Striatum	Mouse P9	Str/SVZ 38-SPN	1.721763085399449e-4	4.824456651540483e-4	-0.6498164080661507	-2.426129760683872	0	95	RELN, CNTNAP5, CNTNAP5, TENM2, KCND2, CDH12, CSMD3, SYT1, GRM5, KCTD16, ANO3, DGKG, EPHA6, POU6F2, FGF14, RBFOX1, ERC2, PTCHD4, LRRTM4, KCNQ5, GABRB3, PTPRN2, ZNF804B, C2CD2, LRFN5, GALNT13, FRAS1, XKR4, DLGAP2, HS3ST4, GABRG3, PIFO, OLFM3, MACROD2, SGCZ, LINGO2, CDH18, RASGEF1B, CNTN3, KCNAB1, KCNIP4, MEI4, PDE10A, CDH8, SAMD12, ANK3, ZNF804A, CNTN4, KCTD8, LRP1B, CHRM3, COL25A1	Anderson et al 2020
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	VSVZ-1 OPC	V-SVZ	Mouse adult	VSVZ-1 OPC	1.726817475392851e-4	4.824456651540483e-4	-0.6544566812680874	-2.4345792367942214	0	93	FAM89A, C1QL1, MEGF11, NXPH1, GPR17, RPRM, MATN4, G0S2, TNR, CALY, OLIG2, C1QL2, KCNIP3, CNTN1, DPP6, XYLT1, BRINP3, OLIG1, FAM155A, SUSD5, RAMP1, NEU4, NCALD, OLFM2, LY6H, VSTM2B, ZDHHC2, KANK1, SAPCD2, CSPG4, BRINP1, TMEM179, SULF2, CCND1, B3GAT2, FXYD6, DSCAM, PCDH15, SERPINE2	Mizrak et al 2019
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	HF EN-PFC2	Human fetal cortex/MGE	Human fetal	Early and Late Born Excitatory Neuron PFC	1.720282126268708e-4	4.824456651540483e-4	-0.6604290395640442	-2.484882192580588	0	100	RPRM, SCUBE1, GNAL, RALYL, CBLN2, FSTL5, ARPP21, SYT4, FGF12, GRM5, CALN1, STMN2, ATP8A2, PCDH11Y, NDRG1, FGF14, GABRA3, LPHN3, KCNQ5, KIAA1045, SLITRK5, FAM49A, SYNDIG1, ELMOD1, RSPO3, VSTM2L, HSPA12A, ADCY2, PCDH17, C8orf34, PCDH10, CACNA2D1, HIVEP2, NCDN, DISP2, TBC1D30, CDKN2D, CNTN3, DYNC1I1, RUNDC3B, NDST3, MB21D2, SPOCK1, FABP3, FABP3, MPPED1, CNTN4, PPP1R14C, STK32B, CCBE1, MAP3K9, GAP43, LDB2, ARHGEF3, SLC8A1, RAB6B, GRIN2B	Nowakowski et al 2017
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	Str/SVZ 28-SPN	Striatum	Mouse P9	Str/SVZ 28-SPN	1.7229496898690558e-4	4.824456651540483e-4	-0.6649650503562302	-2.491514567456322	0	97	CNTNAP5, CNTNAP5, TENM2, RIT2, CDH12, CSMD3, SYT1, GRM5, CALN1, SNAP25, RIMS2, CACNA1E, DGKB, ERC2, PTCHD4, GPR149, FAM19A2, LY6H, NEGR1, KCNQ5, PRKAR2B, GABRB3, PTPRN2, LIN7A, SYNDIG1, FOXP2, LRFN5, FRAS1, GRIK2, KCNH1, DLGAP2, PLCXD3, ZDBF2, PCDH17, AK5, RIMS1, OLFM3, MACROD2, RASGRF1, LINGO2, CDH18, PDE8B, GRIK1, KCNIP4	Anderson et al 2020
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	Str/SVZ 4-OPCs	Striatum	Mouse P9	Str/SVZ 4-OPCs	1.7205781142463867e-4	4.824456651540483e-4	-0.6760737378183698	-2.520779331281549	0	94	C1QL1, MEGF11, NXPH1, SEMA3D, GPR17, MYT1, SOX10, TNR, PPAPDC1A, OLIG2, KCNIP3, KCND2, MMP16, LUZP2, CNTN1, OPCML, CSMD3, XYLT1, BRINP3, OLIG1, FAM155A, LSAMP, NLGN1, NCALD, TMEM132D, ASTN2, FAM19A1, KANK1, CSPG4, GPC5, PTPRE, S100A1, CALCRL, SULF2, STK32A, DSCAM, PRKCQ, PCDH15, PPP2R2B, SERPINE2, GRIK1, SOX8, PDE4B, GRIN3A, SOX6, PPP1R14C, DPP10, LRP1B, NOVA1, IL1RAP, WIPF1, LNX1, ARHGEF3, SGCD, CHST11, ANKS1B	Anderson et al 2020
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	Str/SVZ 1-SPN	Striatum	Mouse P9	Str/SVZ 1-SPN	1.7205781142463867e-4	4.824456651540483e-4	-0.6832794137603272	-2.54764610330114	0	94	RELN, CNTNAP5, CNTNAP5, TENM2, KCND2, CNTN1, CSMD3, SYT1, GRM5, CALN1, KCTD16, ANO3, EPHA6, POU6F2, NLGN1, FGF14, ATP2B2, RBFOX1, PTCHD4, LRRTM4, LY6H, KCNQ5, ATP1B1, GABRB3, STXBP5L, CADM2, ELMOD1, LRFN5, GALNT13, GRIK2, ADAM23, DLGAP2, HS3ST4, GABRG3, NEBL, MACROD2, SGCZ, GRID2, LINGO2, FOXP1, RASGEF1B, SLC24A2, CNTN3, KCNAB1, KCNIP4, PDE10A, CDH8, ATP2B1, ANK3	Anderson et al 2020
